Node_ID           X-Coord            Y-Coord           
NODO763          5654954.969        6157903.250       
NODO765          5655458.268        6156738.273       
NODO767          5655402.946        6156995.320       
NODO769          5654403.230        6157524.275       
NODO771          5654496.687        6157620.333       
NODO772          5654576.296        6157343.269       
NODO776          5654391.890        6157123.138       
NODO777          5654567.345        6156967.432       
NODO779          5654647.066        6156885.363       
NODO780          5654547.514        6156622.666       
NODO781          5654458.401        6156551.278       
NODO782          5654465.138        6156713.127       
NODO783          5654389.305        6156760.625       
NODO784          5654637.830        6156550.587       
NODO787          5654428.923        6156343.434       
NODO788          5654820.728        6156365.108       
NODO789          5654729.279        6156457.848       
NODO790          5654794.408        6156525.265       
NODO791          5655043.611        6156253.840       
NODO793          5654877.475        6156434.790       
NODO794          5654354.349        6156714.289       
NODO795          5654367.161        6156644.480       
NODO796          5654245.529        6156814.956       
NODO798          5654303.819        6156869.635       
NODO799          5654441.240        6156980.832       
NODO800          5654360.666        6156924.359       
NODO801          5654107.750        6156683.621       
NODO803          5654006.620        6156572.572       
NODO805          5654334.854        6157052.848       
NODO806          5654393.108        6157054.758       
NODO807          5654232.599        6156949.420       
NODO809          5654020.446        6157148.586       
NODO811          5654157.809        6157037.030       
NODO812          5653812.618        6157346.932       
NODO813          5653881.894        6157280.817       
NODO814          5653951.170        6157214.702       
NODO815          5653662.501        6157494.577       
NODO817          5653214.004        6156203.736       
NODO818          5653292.980        6156286.626       
NODO821          5653467.022        6156452.833       
NODO823          5653598.753        6156596.781       
NODO824          5653685.464        6156516.224       
NODO825          5653772.176        6156435.666       
NODO827          5653884.971        6156338.350       
NODO828          5653478.905        6156117.210       
NODO830          5653627.448        6156269.780       
NODO832          5653000.078        6156581.692       
NODO834          5653147.322        6156434.810       
NODO836          5653294.568        6156718.069       
NODO837          5653394.577        6156636.372       
NODO838          5653437.744        6156667.665       
NODO840          5653555.221        6156551.726       
NODO841          5653592.373        6156004.672       
NODO842          5653662.565        6155938.088       
NODO843          5653716.074        6155993.155       
NODO845          5653905.677        6156179.677       
NODO846          5653847.213        6156278.776       
NODO847          5653886.928        6156301.677       
NODO848          5652318.532        6161785.082       
NODO849          5652402.011        6161846.936       
NODO850          5652423.663        6161868.024       
NODO854          5652598.763        6162070.089       
NODO855          5652670.204        6162150.325       
NODO856          5652729.940        6162224.966       
NODO857          5652810.316        6162305.087       
NODO858          5652843.089        6162349.533       
NODO859          5652901.410        6162413.421       
NODO860          5652961.111        6162476.270       
NODO861          5653014.716        6162542.332       
NODO862          5653066.806        6162598.968       
NODO863          5653146.533        6162689.775       
NODO866          5653301.044        6162854.238       
NODO868          5653394.679        6162955.304       
NODO870          5653541.056        6163119.935       
NODO871          5653597.271        6163183.545       
NODO872          5653647.876        6163233.809       
NODO874          5653743.830        6163331.104       
NODO875          5654034.005        6161133.505       
NODO877          5654212.978        6161300.141       
NODO879          5654375.642        6161453.776       
NODO881          5654535.143        6161611.738       
NODO883          5654690.100        6161772.724       
NODO885          5654845.057        6161933.711       
NODO887          5654997.991        6162083.024       
NODO889          5655160.092        6162241.288       
NODO891          5655345.159        6162423.411       
NODO893          5655530.226        6162605.534       
NODO895          5655717.693        6162800.442       
NODO896          5655810.663        6162909.817       
NODO897          5650245.990        6156405.838       
NODO900          5650049.363        6156586.306       
NODO901          5650141.966        6156677.945       
NODO903          5650327.172        6156861.223       
NODO904          5650419.776        6156952.862       
NODO905          5650512.379        6157044.501       
NODO906          5650604.982        6157136.140       
NODO908          5650790.189        6157319.419       
NODO910          5650975.396        6157502.697       
NODO911          5651067.999        6157594.336       
NODO913          5651254.292        6157781.717       
NODO915          5651440.038        6157968.556       
NODO917          5651625.783        6158155.395       
NODO919          5651811.529        6158342.234       
NODO920          5651904.402        6158435.654       
NODO921          5651823.910        6158522.100       
NODO922          5651912.577        6158611.744       
NODO923          5652001.245        6158701.389       
NODO925          5652178.579        6158880.678       
NODO926          5652267.247        6158970.322       
NODO928          5652444.581        6159149.611       
NODO930          5652621.916        6159328.900       
NODO932          5652799.250        6159508.190       
NODO934          5652976.585        6159687.479       
